[train] run_name=20260328_130956
[train] device=cuda seed=42
[train] train_runs(90): ['run_008', 'run_009', 'run_010', 'run_012', 'run_013', 'run_014', 'run_015', 'run_016', 'run_017', 'run_019', 'run_020', 'run_021', 'run_025', 'run_026', 'run_031', 'run_032', 'run_033', 'run_034', 'run_036', 'run_037', 'run_038', 'run_039', 'run_044', 'run_046', 'run_049', 'run_051', 'run_055', 'run_056', 'run_057', 'run_061', 'run_062', 'run_063', 'run_065', 'run_066', 'run_067', 'run_068', 'run_069', 'run_070', 'run_071', 'run_072', 'run_073', 'run_074', 'run_075', 'run_076', 'run_077', 'run_078', 'run_081', 'run_083', 'run_084', 'run_085', 'run_086', 'run_087', 'run_088', 'run_089', 'run_091', 'run_093', 'run_094', 'run_095', 'run_096', 'run_099', 'run_100', 'run_101', 'run_102', 'run_105', 'run_106', 'run_107', 'run_108', 'run_109', 'run_110', 'run_111', 'run_112', 'run_113', 'run_115', 'run_116', 'run_119', 'run_120', 'run_122', 'run_123', 'run_125', 'run_127', 'run_128', 'run_129', 'run_130', 'run_131', 'run_132', 'run_134', 'run_135', 'run_136', 'run_137', 'run_138']
[train] val_runs(10): ['run_011', 'run_022', 'run_023', 'run_030', 'run_047', 'run_052', 'run_059', 'run_117', 'run_124', 'run_133']
[train] num_train_samples=48741 num_val_samples=5580
[train] params.image_encoder: trainable=27744 total=27744
[train] params.point_encoder: trainable=4416 total=4416
[train] params.state_encoder: trainable=640 total=640
[train] params.fusion: trainable=82176 total=82176
[train] params.time_mlp: trainable=4288 total=4288
[train] params.denoise: trainable=492608 total=492608
[train] params.policy_total: trainable=611872 total=611872
epoch=12/100 step=900/1524 global_step=17664 train_loss=0.121677
epoch=12/100 step=1000/1524 global_step=17764 train_loss=0.109839
epoch=12/100 step=1100/1524 global_step=17864 train_loss=0.109742
epoch=12/100 step=1200/1524 global_step=17964 train_loss=0.179114
epoch=12/100 step=1300/1524 global_step=18064 train_loss=0.161139
epoch=12/100 step=1400/1524 global_step=18164 train_loss=0.125515
epoch=12/100 step=1500/1524 global_step=18264 train_loss=0.092201
epoch=12/100 step=1524/1524 global_step=18288 train_loss=0.127186
epoch=12/100 mean_train_loss=0.099778 mean_val_loss=0.096363
epoch=13/100 step=100/1524 global_step=18388 train_loss=0.120112
epoch=13/100 step=200/1524 global_step=18488 train_loss=0.084144
epoch=13/100 step=300/1524 global_step=18588 train_loss=0.077871
epoch=13/100 step=400/1524 global_step=18688 train_loss=0.042341
epoch=13/100 step=500/1524 global_step=18788 train_loss=0.084396
epoch=13/100 step=600/1524 global_step=18888 train_loss=0.120797
epoch=13/100 step=700/1524 global_step=18988 train_loss=0.085722
epoch=13/100 step=800/1524 global_step=19088 train_loss=0.042327
epoch=13/100 step=900/1524 global_step=19188 train_loss=0.072224
epoch=13/100 step=1000/1524 global_step=19288 train_loss=0.105844
epoch=13/100 step=1100/1524 global_step=19388 train_loss=0.111037
epoch=13/100 step=1200/1524 global_step=19488 train_loss=0.073303
epoch=13/100 step=1300/1524 global_step=19588 train_loss=0.100792
epoch=13/100 step=1400/1524 global_step=19688 train_loss=0.079050
epoch=13/100 step=1500/1524 global_step=19788 train_loss=0.096795
epoch=13/100 step=1524/1524 global_step=19812 train_loss=0.153006
epoch=13/100 mean_train_loss=0.097182 mean_val_loss=0.090204
epoch=14/100 step=100/1524 global_step=19912 train_loss=0.051252
epoch=14/100 step=200/1524 global_step=20012 train_loss=0.139353
epoch=14/100 step=300/1524 global_step=20112 train_loss=0.072906
epoch=14/100 step=400/1524 global_step=20212 train_loss=0.090325
epoch=14/100 step=500/1524 global_step=20312 train_loss=0.093563
epoch=14/100 step=600/1524 global_step=20412 train_loss=0.100551
epoch=14/100 step=700/1524 global_step=20512 train_loss=0.121466
epoch=14/100 step=800/1524 global_step=20612 train_loss=0.107612
epoch=14/100 step=900/1524 global_step=20712 train_loss=0.077659
epoch=14/100 step=1000/1524 global_step=20812 train_loss=0.102436
epoch=14/100 step=1100/1524 global_step=20912 train_loss=0.089992
epoch=14/100 step=1200/1524 global_step=21012 train_loss=0.090607
epoch=14/100 step=1300/1524 global_step=21112 train_loss=0.042521
epoch=14/100 step=1400/1524 global_step=21212 train_loss=0.103954
epoch=14/100 step=1500/1524 global_step=21312 train_loss=0.137853
epoch=14/100 step=1524/1524 global_step=21336 train_loss=0.059152
epoch=14/100 mean_train_loss=0.093751 mean_val_loss=0.094211
epoch=15/100 step=100/1524 global_step=21436 train_loss=0.105238
epoch=15/100 step=200/1524 global_step=21536 train_loss=0.105595
epoch=15/100 step=300/1524 global_step=21636 train_loss=0.044786
epoch=15/100 step=400/1524 global_step=21736 train_loss=0.084714
epoch=15/100 step=500/1524 global_step=21836 train_loss=0.098489
epoch=15/100 step=600/1524 global_step=21936 train_loss=0.086865
epoch=15/100 step=700/1524 global_step=22036 train_loss=0.088641
epoch=15/100 step=800/1524 global_step=22136 train_loss=0.122971
epoch=15/100 step=900/1524 global_step=22236 train_loss=0.097712
epoch=15/100 step=1000/1524 global_step=22336 train_loss=0.104300
epoch=15/100 step=1100/1524 global_step=22436 train_loss=0.119497
epoch=15/100 step=1200/1524 global_step=22536 train_loss=0.117111
epoch=15/100 step=1300/1524 global_step=22636 train_loss=0.109210
epoch=15/100 step=1400/1524 global_step=22736 train_loss=0.091211
epoch=15/100 step=1500/1524 global_step=22836 train_loss=0.051117
epoch=15/100 step=1524/1524 global_step=22860 train_loss=0.101401
epoch=15/100 mean_train_loss=0.091412 mean_val_loss=0.086612
epoch=16/100 step=100/1524 global_step=22960 train_loss=0.125121
epoch=16/100 step=200/1524 global_step=23060 train_loss=0.148371
epoch=16/100 step=300/1524 global_step=23160 train_loss=0.034224
epoch=16/100 step=400/1524 global_step=23260 train_loss=0.060421
epoch=16/100 step=500/1524 global_step=23360 train_loss=0.094106
epoch=16/100 step=600/1524 global_step=23460 train_loss=0.118422
epoch=16/100 step=700/1524 global_step=23560 train_loss=0.115578
epoch=16/100 step=800/1524 global_step=23660 train_loss=0.077042
epoch=16/100 step=900/1524 global_step=23760 train_loss=0.100143
epoch=16/100 step=1000/1524 global_step=23860 train_loss=0.075023
epoch=16/100 step=1100/1524 global_step=23960 train_loss=0.160920
epoch=16/100 step=1200/1524 global_step=24060 train_loss=0.050872
epoch=16/100 step=1300/1524 global_step=24160 train_loss=0.146778
epoch=16/100 step=1400/1524 global_step=24260 train_loss=0.068218
epoch=16/100 step=1500/1524 global_step=24360 train_loss=0.081984
epoch=16/100 step=1524/1524 global_step=24384 train_loss=0.025009
epoch=16/100 mean_train_loss=0.090000 mean_val_loss=0.083977
epoch=17/100 step=100/1524 global_step=24484 train_loss=0.126903
epoch=17/100 step=200/1524 global_step=24584 train_loss=0.061366
epoch=17/100 step=300/1524 global_step=24684 train_loss=0.082825
epoch=17/100 step=400/1524 global_step=24784 train_loss=0.160196
epoch=17/100 step=500/1524 global_step=24884 train_loss=0.105101
epoch=17/100 step=600/1524 global_step=24984 train_loss=0.070487
epoch=17/100 step=700/1524 global_step=25084 train_loss=0.147431
epoch=17/100 step=800/1524 global_step=25184 train_loss=0.106568
epoch=17/100 step=900/1524 global_step=25284 train_loss=0.026650
epoch=17/100 step=1000/1524 global_step=25384 train_loss=0.101126
epoch=17/100 step=1100/1524 global_step=25484 train_loss=0.066570
epoch=17/100 step=1200/1524 global_step=25584 train_loss=0.086504
epoch=17/100 step=1300/1524 global_step=25684 train_loss=0.062907
epoch=17/100 step=1400/1524 global_step=25784 train_loss=0.088720
epoch=17/100 step=1500/1524 global_step=25884 train_loss=0.104560
epoch=17/100 step=1524/1524 global_step=25908 train_loss=0.189562
epoch=17/100 mean_train_loss=0.087737 mean_val_loss=0.086643
epoch=18/100 step=100/1524 global_step=26008 train_loss=0.073766
epoch=18/100 step=200/1524 global_step=26108 train_loss=0.064586
epoch=18/100 step=300/1524 global_step=26208 train_loss=0.103432
epoch=18/100 step=400/1524 global_step=26308 train_loss=0.044548
epoch=18/100 step=500/1524 global_step=26408 train_loss=0.072078
epoch=18/100 step=600/1524 global_step=26508 train_loss=0.096565
epoch=18/100 step=700/1524 global_step=26608 train_loss=0.091517
epoch=18/100 step=800/1524 global_step=26708 train_loss=0.072279
epoch=18/100 step=900/1524 global_step=26808 train_loss=0.041574
epoch=18/100 step=1000/1524 global_step=26908 train_loss=0.054557
epoch=18/100 step=1100/1524 global_step=27008 train_loss=0.091743
epoch=18/100 step=1200/1524 global_step=27108 train_loss=0.085527
epoch=18/100 step=1300/1524 global_step=27208 train_loss=0.068739
epoch=18/100 step=1400/1524 global_step=27308 train_loss=0.158156
epoch=18/100 step=1500/1524 global_step=27408 train_loss=0.037119
epoch=18/100 step=1524/1524 global_step=27432 train_loss=0.037948
epoch=18/100 mean_train_loss=0.083854 mean_val_loss=0.080906
epoch=19/100 step=100/1524 global_step=27532 train_loss=0.098878
epoch=19/100 step=200/1524 global_step=27632 train_loss=0.079030
epoch=19/100 step=300/1524 global_step=27732 train_loss=0.078451
epoch=19/100 step=400/1524 global_step=27832 train_loss=0.093851
epoch=19/100 step=500/1524 global_step=27932 train_loss=0.043288
epoch=19/100 step=600/1524 global_step=28032 train_loss=0.072311
epoch=19/100 step=700/1524 global_step=28132 train_loss=0.028553
epoch=19/100 step=800/1524 global_step=28232 train_loss=0.105456
epoch=19/100 step=900/1524 global_step=28332 train_loss=0.034983
epoch=19/100 step=1000/1524 global_step=28432 train_loss=0.093326
epoch=19/100 step=1100/1524 global_step=28532 train_loss=0.094178
epoch=19/100 step=1200/1524 global_step=28632 train_loss=0.082891
epoch=19/100 step=1300/1524 global_step=28732 train_loss=0.094612
epoch=19/100 step=1400/1524 global_step=28832 train_loss=0.057047
epoch=19/100 step=1500/1524 global_step=28932 train_loss=0.097285
epoch=19/100 step=1524/1524 global_step=28956 train_loss=0.057091
epoch=19/100 mean_train_loss=0.083307 mean_val_loss=0.081673
epoch=20/100 step=100/1524 global_step=29056 train_loss=0.133902
epoch=20/100 step=200/1524 global_step=29156 train_loss=0.068530
epoch=20/100 step=300/1524 global_step=29256 train_loss=0.132055
epoch=20/100 step=400/1524 global_step=29356 train_loss=0.146733
epoch=20/100 step=500/1524 global_step=29456 train_loss=0.097054
epoch=20/100 step=600/1524 global_step=29556 train_loss=0.125862
epoch=20/100 step=700/1524 global_step=29656 train_loss=0.033646
epoch=20/100 step=800/1524 global_step=29756 train_loss=0.035947
epoch=20/100 step=900/1524 global_step=29856 train_loss=0.118306
epoch=20/100 step=1000/1524 global_step=29956 train_loss=0.059652
epoch=20/100 step=1100/1524 global_step=30056 train_loss=0.053474
epoch=20/100 step=1200/1524 global_step=30156 train_loss=0.079920
epoch=20/100 step=1300/1524 global_step=30256 train_loss=0.051802
epoch=20/100 step=1400/1524 global_step=30356 train_loss=0.117910
epoch=20/100 step=1500/1524 global_step=30456 train_loss=0.092611
epoch=20/100 step=1524/1524 global_step=30480 train_loss=0.011292
epoch=20/100 mean_train_loss=0.080809 mean_val_loss=0.079951
epoch=21/100 step=100/1524 global_step=30580 train_loss=0.064137
epoch=21/100 step=200/1524 global_step=30680 train_loss=0.066564
epoch=21/100 step=300/1524 global_step=30780 train_loss=0.138517
epoch=21/100 step=400/1524 global_step=30880 train_loss=0.029393
epoch=21/100 step=500/1524 global_step=30980 train_loss=0.058996
epoch=21/100 step=600/1524 global_step=31080 train_loss=0.088513
epoch=21/100 step=700/1524 global_step=31180 train_loss=0.039219
epoch=21/100 step=800/1524 global_step=31280 train_loss=0.109633
epoch=21/100 step=900/1524 global_step=31380 train_loss=0.061368
epoch=21/100 step=1000/1524 global_step=31480 train_loss=0.056812
epoch=21/100 step=1100/1524 global_step=31580 train_loss=0.086942
epoch=21/100 step=1200/1524 global_step=31680 train_loss=0.142900
epoch=21/100 step=1300/1524 global_step=31780 train_loss=0.070588
epoch=21/100 step=1400/1524 global_step=31880 train_loss=0.089581
